type,timestamp,source,event,event_type,entity_type,time_bucket,size_category,log_ip,destination,src_port,dst_port,length,level,pid
log,2008-11-09T20:50:56,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,packet_response,system,20,,,,,,,INFO,710
log,2008-11-09T20:51:57,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,block_transfer,system,20,,10.251.123.1,,,,,INFO,752
log,2008-11-09T20:53:15,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,system_event,system,20,,,,,,,INFO,29
log,2008-11-09T20:54:09,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.130:50010 is added to blk_4568434182693165548 size 67108864,block_update,system,20,,10.251.111.130,,,,,INFO,28
log,2008-11-09T20:54:12,dfs.DataNode$PacketResponder,Received block blk_-5704899712662113150 of size 67108864 from /10.251.91.229,block_transfer,system,20,,10.251.91.229,,,,,INFO,832
log,2008-11-09T20:56:32,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-4794867979917102672 size 67108864,block_update,system,20,,10.251.74.79,,,,,INFO,28
log,2008-11-09T20:57:39,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.197:50010 is added to blk_8763662564934652249 size 67108864,block_update,system,20,,10.251.38.197,,,,,INFO,29
log,2008-11-09T20:57:42,dfs.DataNode$PacketResponder,Received block blk_-5861636720645142679 of size 67108864 from /10.251.70.211,block_transfer,system,20,,10.251.70.211,,,,,INFO,1001
log,2008-11-09T20:57:46,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.134:50010 is added to blk_7453815855294711849 size 67108864,block_update,system,20,,10.251.74.134,,,,,INFO,29
log,2008-11-09T20:57:49,dfs.DataNode$DataXceiver,Receiving block blk_-28342503914935090 src: /10.251.123.132:57542 dest: /10.251.123.132:50010,block_transfer,system,20,,10.251.123.132,,,,,INFO,997
log,2008-11-09T20:57:54,dfs.DataNode$PacketResponder,Received block blk_8291449241650212794 of size 67108864 from /10.251.89.155,block_transfer,system,20,,10.251.89.155,,,,,INFO,952
log,2008-11-09T20:58:58,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. blk_-5319073033164653435,system_event,system,20,,,,,,,INFO,31
log,2008-11-09T20:59:31,dfs.DataBlockScanner,Verification succeeded for blk_-4980916519894289629,system_event,system,20,,,,,,,INFO,13
log,2008-11-09T21:00:22,dfs.DataNode$PacketResponder,Received block blk_-5974833545991408899 of size 67108864 from /10.251.31.180,block_transfer,system,21,,10.251.31.180,,,,,INFO,1110
log,2008-11-09T21:00:37,dfs.DataNode$DataXceiver,Receiving block blk_-5009020203888190378 src: /10.251.199.19:52622 dest: /10.251.199.19:50010,block_transfer,system,21,,10.251.199.19,,,,,INFO,1084
log,2008-11-09T21:02:48,dfs.DataNode$PacketResponder,Received block blk_6921674711959888070 of size 67108864 from /10.251.65.203,block_transfer,system,21,,10.251.65.203,,,,,INFO,1138
log,2008-11-09T21:04:07,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_5165786360127153975 size 67108864,block_update,system,21,,10.250.7.244,,,,,INFO,33
log,2008-11-09T21:04:58,dfs.DataNode$DataXceiver,Receiving block blk_2937758977269298350 src: /10.251.194.129:37476 dest: /10.251.194.129:50010,block_transfer,system,21,,10.251.194.129,,,,,INFO,1278
log,2008-11-09T21:05:51,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.6.191:50010 is added to blk_673825774073966710 size 67108864,block_update,system,21,,10.250.6.191,,,,,INFO,32
log,2008-11-09T21:06:37,dfs.DataNode$PacketResponder,Received block blk_-7526945448667194862 of size 67108864 from /10.251.203.80,block_transfer,system,21,,10.251.203.80,,,,,INFO,1283
log,2008-11-09T21:06:56,dfs.DataNode$PacketResponder,Received block blk_-2094397855762091248 of size 67108864 from /10.251.126.83,block_transfer,system,21,,10.251.126.83,,,,,INFO,1334
log,2008-11-09T21:07:12,dfs.DataNode$PacketResponder,Received block blk_-8523968015014407246 of size 67108864 from /10.251.214.225,block_transfer,system,21,,10.251.214.225,,,,,INFO,1333
log,2008-11-09T21:07:43,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_8181993091797661153 size 67108864,block_update,system,21,,10.251.89.155,,,,,INFO,27
log,2008-11-09T21:08:01,dfs.DataNode$DataXceiver,Receiving block blk_-6276023454199613372 src: /10.251.65.237:34085 dest: /10.251.65.237:50010,block_transfer,system,21,,10.251.65.237,,,,,INFO,1357
log,2008-11-09T21:08:07,dfs.DataNode$PacketResponder,Received block blk_4755566011267050000 of size 67108864 from /10.251.75.79,block_transfer,system,21,,10.251.75.79,,,,,INFO,1408
log,2008-11-09T21:08:12,dfs.DataNode$PacketResponder,Received block blk_-3909548841543565741 of size 3542967 from /10.251.195.33,block_transfer,system,21,,10.251.195.33,,,,,INFO,1395
log,2008-11-09T21:09:21,dfs.DataNode$DataXceiver,Receiving block blk_-6809181994368905854 src: /10.250.17.225:51754 dest: /10.250.17.225:50010,block_transfer,system,21,,10.250.17.225,,,,,INFO,1452
log,2008-11-09T21:09:35,dfs.DataNode$PacketResponder,Received block blk_8829027411458566099 of size 67108864 from /10.251.38.214,block_transfer,system,21,,10.251.38.214,,,,,INFO,1458
log,2008-11-09T21:10:29,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-29548654251973735 size 67108864,block_update,system,21,,10.251.106.50,,,,,INFO,31
log,2008-11-09T21:10:38,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-5073870177832699716 terminating,packet_response,system,21,,,,,,,INFO,1490
log,2008-11-09T21:12:16,dfs.DataNode$PacketResponder,Received block blk_-8241093737585222406 of size 67108864 from /10.250.5.161,block_transfer,system,21,,10.250.5.161,,,,,INFO,1504
log,2008-11-09T21:13:01,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.228:50010 is added to blk_-2480595760294717232 size 67108864,block_update,system,21,,10.251.111.228,,,,,INFO,29
log,2008-11-09T21:13:53,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7791237942696729620 terminating,packet_response,system,21,,,,,,,INFO,1574
log,2008-11-09T21:14:03,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.202.134:50010 is added to blk_2113880130496815041 size 3549917,block_update,system,21,,10.251.202.134,,,,,INFO,31
log,2008-11-09T21:14:53,dfs.DataNode$PacketResponder,Received block blk_1064470652608359218 of size 67108864 from /10.251.39.242,block_transfer,system,21,,10.251.39.242,,,,,INFO,1623
log,2008-11-09T21:15:28,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_-1661553043410372067 size 67108864,block_update,system,21,,10.251.110.8,,,,,INFO,29
log,2008-11-09T21:16:17,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1527267659500322006 terminating,packet_response,system,21,,,,,,,INFO,1635
log,2008-11-09T21:19:18,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_4886940526690879848 terminating,packet_response,system,21,,,,,,,INFO,1777
log,2008-11-09T21:20:29,dfs.DataNode$PacketResponder,Received block blk_-2452477352812192142 of size 67108864 from /10.250.7.244,block_transfer,system,21,,10.250.7.244,,,,,INFO,1814
log,2008-11-09T21:22:19,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-4229375751333894621 terminating,packet_response,system,21,,,,,,,INFO,1885
log,2008-11-09T21:22:20,dfs.DataNode$DataXceiver,Receiving block blk_-774267833966018354 src: /10.251.38.53:51057 dest: /10.251.38.53:50010,block_transfer,system,21,,10.251.38.53,,,,,INFO,1946
log,2008-11-09T21:22:45,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. blk_2513940824125131775,system_event,system,21,,,,,,,INFO,27
log,2008-11-09T21:23:17,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. blk_-1282453782148343691,system_event,system,21,,,,,,,INFO,34
log,2008-11-09T21:23:38,dfs.DataNode$PacketResponder,Received block blk_-518701095493827363 of size 67108864 from /10.251.214.67,block_transfer,system,21,,10.251.214.67,,,,,INFO,2007
log,2008-11-09T21:24:03,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.50:50010 is added to blk_-2530087534157630851 size 67108864,block_update,system,21,,10.251.106.50,,,,,INFO,35
log,2008-11-09T21:24:40,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.198.196:50010 is added to blk_427714267500527780 size 67108864,block_update,system,21,,10.251.198.196,,,,,INFO,31
log,2008-11-09T21:27:03,dfs.DataNode$PacketResponder,Received block blk_-967145856473901804 of size 67108864 from /10.250.6.191,block_transfer,system,21,,10.250.6.191,,,,,INFO,2053
log,2008-11-09T21:29:04,dfs.DataNode$PacketResponder,Received block blk_8408125361497769001 of size 67108864 from /10.251.70.211,block_transfer,system,21,,10.251.70.211,,,,,INFO,2174
log,2008-11-09T21:29:31,dfs.DataNode$PacketResponder,Received block blk_-1614641487214609125 of size 67108864 from /10.251.193.175,block_transfer,system,21,,10.251.193.175,,,,,INFO,2211
log,2008-11-09T21:30:09,dfs.DataNode$PacketResponder,Received block blk_7577595658377008671 of size 67108864 from /10.251.71.97,block_transfer,system,21,,10.251.71.97,,,,,INFO,2207
log,2008-11-09T21:30:28,dfs.DataNode$PacketResponder,Received block blk_3777400576053320362 of size 67108864 from /10.251.31.5,block_transfer,system,21,,10.251.31.5,,,,,INFO,2206
log,2008-11-09T21:32:17,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-5852844080027817147 terminating,packet_response,system,21,,,,,,,INFO,2267
log,2008-11-09T21:33:53,dfs.DataNode$PacketResponder,Received block blk_-2129171714384027465 of size 67108864 from /10.251.75.228,block_transfer,system,21,,10.251.75.228,,,,,INFO,2313
log,2008-11-09T21:34:36,dfs.DataBlockScanner,Verification succeeded for blk_-2827716238972737794,system_event,system,21,,,,,,,INFO,13
log,2008-11-09T21:35:06,dfs.DataNode$DataXceiver,Receiving block blk_-3509323198988774369 src: /10.250.6.214:52922 dest: /10.250.6.214:50010,block_transfer,system,21,,10.250.6.214,,,,,INFO,2421
log,2008-11-09T21:35:10,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_9093049293972551787 terminating,packet_response,system,21,,,,,,,INFO,2384
log,2008-11-09T21:38:37,dfs.FSDataset,Deleting block blk_1781953582842324563 file /mnt/hadoop/dfs/data/current/subdir5/blk_1781953582842324563,system_event,system,21,,,,,,,INFO,19
log,2008-11-09T21:38:47,dfs.DataNode$DataXceiver,10.251.194.213:50010 Served block blk_-7724713468912166542 to /10.251.203.80,system_event,system,21,,10.251.194.213,,,,,INFO,2552
log,2008-11-09T21:39:07,dfs.DataNode$DataXceiver,10.251.91.229:50010 Served block blk_-3358448553918665902 to /10.251.91.229,system_event,system,21,,10.251.91.229,,,,,INFO,2497
log,2008-11-09T21:39:08,dfs.DataNode$DataXceiver,10.251.39.192:50010 Served block blk_-5341992729755584578 to /10.251.39.192,system_event,system,21,,10.251.39.192,,,,,INFO,2549
log,2008-11-09T21:40:09,dfs.DataNode$DataXceiver,10.250.5.237:50010 Served block blk_3166960787499091856 to /10.251.43.147,system_event,system,21,,10.250.5.237,,,,,INFO,2594
log,2008-11-09T21:40:43,dfs.DataNode$DataXceiver,10.251.30.85:50010:Got exception while serving blk_-2918118818249673980 to /10.251.90.64:,system_event,system,21,,10.251.30.85,,,,,WARN,2561
log,2008-11-09T21:44:02,dfs.DataNode$DataXceiver,10.251.126.255:50010:Got exception while serving blk_8376667364205250596 to /10.251.91.159:,system_event,system,21,,10.251.126.255,,,,,WARN,2677
log,2008-11-09T21:45:24,dfs.DataNode$DataXceiver,10.251.71.68:50010 Served block blk_-2794533871450434534 to /10.251.199.150,system_event,system,21,,10.251.71.68,,,,,INFO,2633
log,2008-11-09T21:45:29,dfs.DataNode$DataXceiver,10.251.123.132:50010:Got exception while serving blk_3763728533434719668 to /10.251.38.214:,system_event,system,21,,10.251.123.132,,,,,WARN,2747
log,2008-11-09T21:49:10,dfs.DataNode$DataXceiver,10.250.13.188:50010:Got exception while serving blk_6241141267506413726 to /10.251.194.245:,system_event,system,21,,10.250.13.188,,,,,WARN,2848
log,2008-11-09T21:49:19,dfs.DataNode$DataXceiver,10.251.214.32:50010 Served block blk_-6520030462660619051 to /10.251.215.70,system_event,system,21,,10.251.214.32,,,,,INFO,2899
log,2008-11-09T21:51:36,dfs.DataNode$DataXceiver,10.251.199.19:50010:Got exception while serving blk_8466246428293623262 to /10.251.106.37:,system_event,system,21,,10.251.199.19,,,,,WARN,2868
log,2008-11-09T21:52:59,dfs.DataNode$DataXceiver,10.250.9.207:50010:Got exception while serving blk_-3140754468249228022 to /10.250.9.207:,system_event,system,21,,10.250.9.207,,,,,WARN,2934
log,2008-11-09T21:57:02,dfs.DataNode$DataXceiver,10.251.202.134:50010:Got exception while serving blk_3441699978641526775 to /10.251.126.5:,system_event,system,21,,10.251.202.134,,,,,WARN,3022
log,2008-11-09T21:57:34,dfs.DataNode$DataXceiver,10.250.6.214:50010 Served block blk_5739119717322549945 to /10.251.43.115,system_event,system,21,,10.250.6.214,,,,,INFO,3055
log,2008-11-09T22:00:32,dfs.DataNode$DataXceiver,10.250.14.196:50010:Got exception while serving blk_-305633040016166849 to /10.251.38.53:,system_event,system,22,,10.250.14.196,,,,,WARN,3137
log,2008-11-09T22:04:03,dfs.DataNode$DataXceiver,10.251.107.227:50010:Got exception while serving blk_-6290631608800952376 to /10.251.109.209:,system_event,system,22,,10.251.107.227,,,,,WARN,3148
log,2008-11-09T22:05:28,dfs.DataNode$DataXceiver,10.251.203.166:50010 Served block blk_8787656642683881295 to /10.251.107.98,system_event,system,22,,10.251.203.166,,,,,INFO,3174
log,2008-11-09T22:11:05,dfs.DataNode$DataXceiver,10.251.90.64:50010:Got exception while serving blk_-4841792440390267307 to /10.251.90.239:,system_event,system,22,,10.251.90.64,,,,,WARN,3338
log,2008-11-09T22:11:51,dfs.DataNode$DataXceiver,10.250.10.144:50010:Got exception while serving blk_5126469776250053435 to /10.250.11.100:,system_event,system,22,,10.250.10.144,,,,,WARN,3361
log,2008-11-09T22:20:40,dfs.DataNode$DataXceiver,10.251.71.146:50010:Got exception while serving blk_-2032740670708110312 to /10.251.197.161:,system_event,system,22,,10.251.71.146,,,,,WARN,3463
log,2008-11-09T22:20:41,dfs.DataNode$DataXceiver,10.251.67.113:50010:Got exception while serving blk_-62891505109755100 to /10.250.7.96:,system_event,system,22,,10.251.67.113,,,,,WARN,3390
log,2008-11-09T22:23:42,dfs.DataNode$DataXceiver,10.251.74.79:50010:Got exception while serving blk_2244903517044280975 to /10.251.74.134:,system_event,system,22,,10.251.74.79,,,,,WARN,3462
log,2008-11-09T22:26:50,dfs.DataNode$DataXceiver,10.251.214.112:50010:Got exception while serving blk_5905933788014151041 to /10.251.214.112:,system_event,system,22,,10.251.214.112,,,,,WARN,3459
log,2008-11-09T22:32:11,dfs.DataNode$DataXceiver,10.251.111.80:50010 Served block blk_6296828743242110158 to /10.251.42.246,system_event,system,22,,10.251.111.80,,,,,INFO,3544
log,2008-11-09T22:39:10,dfs.DataNode$DataXceiver,10.251.43.210:50010:Got exception while serving blk_2969087638814291714 to /10.251.199.86:,system_event,system,22,,10.251.43.210,,,,,WARN,3540
log,2008-11-09T22:40:54,dfs.DataNode$DataXceiver,10.251.126.255:50010:Got exception while serving blk_2879780987351022871 to /10.251.39.144:,system_event,system,22,,10.251.126.255,,,,,WARN,3560
log,2008-11-09T22:42:34,dfs.DataNode$DataXceiver,10.251.73.220:50010:Got exception while serving blk_4934527196392001803 to /10.251.203.246:,system_event,system,22,,10.251.73.220,,,,,WARN,3638
log,2008-11-09T22:44:20,dfs.DataNode$DataXceiver,10.251.73.188:50010:Got exception while serving blk_7517964792804498202 to /10.250.6.191:,system_event,system,22,,10.251.73.188,,,,,WARN,3666
log,2008-11-09T22:47:41,dfs.DataNode$DataXceiver,10.251.35.1:50010:Got exception while serving blk_7940316270494947483 to /10.251.122.38:,system_event,system,22,,10.251.35.1,,,,,WARN,3699
log,2008-11-09T23:01:10,dfs.DataNode$DataXceiver,10.251.90.134:50010:Got exception while serving blk_7154985168984871115 to /10.251.110.160:,system_event,system,23,,10.251.90.134,,,,,WARN,3647
log,2008-11-09T23:22:00,dfs.DataNode$PacketResponder,Received block blk_-6867873931012347356 of size 67108864 from /10.251.39.64,block_transfer,system,23,,10.251.39.64,,,,,INFO,3856
log,2008-11-09T23:23:24,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_6093743385844975689 size 67108864,block_update,system,23,,10.251.107.19,,,,,INFO,32
log,2008-11-09T23:23:46,dfs.DataNode$DataXceiver,Receiving block blk_8692428775973608797 src: /10.250.10.213:56574 dest: /10.250.10.213:50010,block_transfer,system,23,,10.250.10.213,,,,,INFO,3820
log,2008-11-09T23:26:39,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6837050820114491742 terminating,packet_response,system,23,,,,,,,INFO,3792
log,2008-11-09T23:28:28,dfs.DataNode$PacketResponder,Received block blk_-5195432543794777448 of size 67108864 from /10.250.10.6,block_transfer,system,23,,10.250.10.6,,,,,INFO,3875
log,2008-11-09T23:28:29,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.68:50010 is added to blk_1636660629634995787 size 67108864,block_update,system,23,,10.251.110.68,,,,,INFO,33
log,2008-11-09T23:28:33,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.75.79:50010 is added to blk_467589865104023338 size 67108864,block_update,system,23,,10.251.75.79,,,,,INFO,32
log,2008-11-09T23:29:23,dfs.DataNode$PacketResponder,Received block blk_7929144620252342335 of size 67108864 from /10.251.31.5,block_transfer,system,23,,10.251.31.5,,,,,INFO,3792
log,2008-11-09T23:29:26,dfs.DataNode$DataXceiver,Receiving block blk_-1798958443298220150 src: /10.251.111.209:57419 dest: /10.251.111.209:50010,block_transfer,system,23,,10.251.111.209,,,,,INFO,3783
log,2008-11-09T23:31:08,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-54240672253074715 terminating,packet_response,system,23,,,,,,,INFO,3872
log,2008-11-09T23:33:56,dfs.DataNode$DataXceiver,Receiving block blk_-7172347691639518373 src: /10.251.111.37:35327 dest: /10.251.111.37:50010,block_transfer,system,23,,10.251.111.37,,,,,INFO,3917
log,2008-11-09T23:37:53,dfs.DataNode$DataXceiver,Receiving block blk_-6412155847905320411 src: /10.251.30.85:58995 dest: /10.251.30.85:50010,block_transfer,system,23,,10.251.30.85,,,,,INFO,3950
log,2008-11-09T23:38:35,dfs.DataNode$DataXceiver,Receiving block blk_699651392443620263 src: /10.251.70.5:34703 dest: /10.251.70.5:50010,block_transfer,system,23,,10.251.70.5,,,,,INFO,4139
log,2008-11-09T23:38:36,dfs.DataNode$DataXceiver,Receiving block blk_-8788032532930439012 src: /10.251.126.255:41104 dest: /10.251.126.255:50010,block_transfer,system,23,,10.251.126.255,,,,,INFO,4061
log,2008-11-09T23:38:49,dfs.DataNode$PacketResponder,Received block blk_-3455521536483250153 of size 67108864 from /10.251.106.37,block_transfer,system,23,,10.251.106.37,,,,,INFO,4087
log,2008-11-09T23:40:27,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.31.85:50010 is added to blk_-7017553867379051457 size 67108864,block_update,system,23,,10.251.31.85,,,,,INFO,26
log,2008-11-09T23:41:07,dfs.DataNode$DataXceiver,Receiving block blk_-1259190292740306590 src: /10.251.65.203:36289 dest: /10.251.65.203:50010,block_transfer,system,23,,10.251.65.203,,,,,INFO,4261
log,2008-11-09T23:41:10,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. blk_-6620182933895093708,system_event,system,23,,,,,,,INFO,26
log,2008-11-09T23:41:11,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_2028803850179311599 terminating,packet_response,system,23,,,,,,,INFO,4288
log,2008-11-09T23:41:12,dfs.DataNode$DataXceiver,Receiving block blk_-8562334328670278932 src: /10.251.194.147:46714 dest: /10.251.194.147:50010,block_transfer,system,23,,10.251.194.147,,,,,INFO,4136
log,2008-11-09T23:43:25,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-8108913101671416218 terminating,packet_response,system,23,,,,,,,INFO,4246
log,2008-11-09T23:45:12,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-7640601843607665080 terminating,packet_response,system,23,,,,,,,INFO,4223
log,2008-11-09T23:45:16,dfs.DataNode$DataXceiver,Receiving block blk_7654726977769174867 src: /10.251.110.160:49990 dest: /10.251.110.160:50010,block_transfer,system,23,,10.251.110.160,,,,,INFO,4136
log,2008-11-09T23:45:55,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_8320088109701056055 terminating,packet_response,system,23,,,,,,,INFO,4345
log,2008-11-09T23:46:05,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_4585055992495043771 size 67108864,block_update,system,23,,10.251.197.226,,,,,INFO,26
log,2008-11-09T23:46:44,dfs.DataNode$PacketResponder,Received block blk_-4330512786228504138 of size 67108864 from /10.251.67.225,block_transfer,system,23,,10.251.67.225,,,,,INFO,4177
log,2008-11-09T23:47:06,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.30.179:50010 is added to blk_4628142183191390143 size 67108864,block_update,system,23,,10.251.30.179,,,,,INFO,34
log,2008-11-09T23:47:19,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6766351519628312408 terminating,packet_response,system,23,,,,,,,INFO,4344
log,2008-11-09T23:47:28,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.5.237:50010 is added to blk_-476906696485288376 size 67108864,block_update,system,23,,10.250.5.237,,,,,INFO,27
log,2008-11-09T23:48:35,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-7436749154361133879 terminating,packet_response,system,23,,,,,,,INFO,3972
log,2008-11-09T23:48:35,dfs.DataNode$DataXceiver,Receiving block blk_7061131805920430446 src: /10.250.7.32:53397 dest: /10.250.7.32:50010,block_transfer,system,23,,10.250.7.32,,,,,INFO,4259
log,2008-11-09T23:49:24,dfs.DataNode$PacketResponder,Received block blk_-684595390732854503 of size 67108864 from /10.250.6.191,block_transfer,system,23,,10.250.6.191,,,,,INFO,4275
log,2008-11-09T23:50:30,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-6956067134432991406 size 67108864,block_update,system,23,,10.250.7.244,,,,,INFO,31
log,2008-11-09T23:51:38,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_549647953114643908 terminating,packet_response,system,23,,,,,,,INFO,3469
log,2008-11-09T23:51:40,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000230_0/part-00230. blk_559204981722276126,system_event,system,23,,,,,,,INFO,31
log,2008-11-09T23:53:05,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-165500353496111884 terminating,packet_response,system,23,,,,,,,INFO,4419
log,2008-11-09T23:53:11,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/sortrand/_temporary/_task_200811092030_0002_r_000169_0/part-00169. blk_-7105305952901940477,system_event,system,23,,,,,,,INFO,34
log,2008-11-09T23:53:22,dfs.DataNode$DataXceiver,Receiving block blk_-9103764593642564543 src: /10.251.43.115:46385 dest: /10.251.43.115:50010,block_transfer,system,23,,10.251.43.115,,,,,INFO,3968
